"species","lon","lat"
"Crax_fasciolata",-54.158258,-20.814139
"Crax_fasciolata",-55.876718,-20.181202
"Crax_fasciolata",-53.1006,-22.4614
"Crax_fasciolata",-53.5388,-22.5374
"Crax_fasciolata",-54.6723,-22.6155
"Crax_fasciolata",-56.2,-23.23
"Crax_fasciolata",-56.236,-23.2953
"Crax_fasciolata",-53.5407,-22.4383
"Crax_fasciolata",-54.2859,-21.8903
"Crax_fasciolata",-54.3942,-21.4711
"Crax_fasciolata",-54.0799,-21.8316
"Crax_fasciolata",-54.6947,-20.449
"Crax_fasciolata",-54.3773,-21.3858
"Crax_fasciolata",-55.0292,-20.5913
"Crax_fasciolata",-55.8247,-20.411
"Crax_fasciolata",-54.774252,-20.53982
"Crax_fasciolata",-55.7578,-20.4473
"Crax_fasciolata",-54.46132325,-20.5139854
"Crax_fasciolata",-54.6188,-20.5028
"Crax_fasciolata",-57.2569,-27.3117
"Crax_fasciolata",-56.5833,-25.0167
"Crax_fasciolata",-56.16,-23.83
"Crax_fasciolata",-54.859026,-22.246018
"Crax_fasciolata",-64.1335,-17.4309
"Crax_fasciolata",-56.74,-27.4
"Crax_fasciolata",-55.8,-26.43
"Crax_fasciolata",-55.7667,-26.2333
"Crax_fasciolata",-55.26,-24.11
"Crax_fasciolata",-65.2842,-16.0334
"Crax_fasciolata",-54.4333,-24.7833
"Crax_fasciolata",-54.5498,-25.6265
"Crax_fasciolata",-54.40521252,-25.65876733
"Crax_fasciolata",-49.3597,-6.60311
"Crax_fasciolata",-49.545048,-6.878284
"Crax_fasciolata",-48.2239,-6.54174
"Crax_fasciolata",-48.098333,-6.736389
"Crax_fasciolata",-49.2142,-8.66805
"Crax_fasciolata",-48.0969,-8.08437
"Crax_fasciolata",-49.843424,-6.18864
"Crax_fasciolata",-50.014358,-6.392157
"Crax_fasciolata",-50.1486,-6.45388
"Crax_fasciolata",-49.8929,-5.92979
"Crax_fasciolata",-49.9721,-6.08961
"Crax_fasciolata",-49.8436,-6.08902
"Crax_fasciolata",-50.2786,-6.18629
"Crax_fasciolata",-50.4213,-6.32993
"Crax_fasciolata",-49.47422,-5.66384
"Crax_fasciolata",-50.3647,-5.96501
"Crax_fasciolata",-50.5635,-6.04428
"Crax_fasciolata",-48.4528,-7.90663
"Crax_fasciolata",-50.2312,-6.08675
"Crax_fasciolata",-50.5156,-5.55612
"Crax_fasciolata",-51.968894,-6.035066
"Crax_fasciolata",-56.8015,-9.26931
"Crax_fasciolata",-55.433756,-8.503269
"Crax_fasciolata",-52.2,-3.2
"Crax_fasciolata",-52.37,-3.65
"Crax_fasciolata",-50.752756,-4.556589
"Crax_fasciolata",-56.5863,-9.05418
"Crax_fasciolata",-55.988,-9.24665
"Crax_fasciolata",-51.018,-4.04947
"Crax_fasciolata",-55.898,-9.45022
"Crax_fasciolata",-50.7125,-3.847
"Crax_fasciolata",-56.0146,-9.67335
"Crax_fasciolata",-55.741994,-9.784376
"Crax_fasciolata",-56.3287,-9.79161
"Crax_fasciolata",-54.364758,-9.791353
