;species;subsp;lat;lon;collectionCode;year;basis
112;Crax fasciolata;NA;-9.59753;-55.9315;EBIRD;2017;GBIF
113;Crax fasciolata;NA;-9.59647;-55.9322;EBIRD;2018;GBIF
114;Crax fasciolata;NA;-16.5414;-57.052;EBIRD;2001;GBIF
115;Crax fasciolata;NA;-21.1715;-56.4459;EBIRD;2019;GBIF
116;Crax fasciolata;NA;-17.1678;-56.577;EBIRD;2019;GBIF
117;Crax fasciolata;NA;-16.389;-56.6272;EBIRD;2018;GBIF
118;Crax fasciolata;NA;-16.5705;-56.7271;EBIRD;2013;GBIF
119;Crax fasciolata;NA;-21.1715;-56.4459;EBIRD_BRA;2019;GBIF
120;Crax fasciolata;NA;-16.5784;-56.7204;EBIRD;2019;GBIF
121;Crax fasciolata;NA;-9.59726;-55.9311;EBIRD;2015;GBIF
122;Crax fasciolata;NA;-16.5031;-56.7453;EBIRD;2018;GBIF
123;Crax fasciolata;NA;-9.59647;-55.9322;EBIRD;2018;GBIF
124;Crax fasciolata;NA;-17.3645;-56.7751;EBIRD;2014;GBIF
125;Crax fasciolata;NA;-16.7842;-56.844;EBIRD;2019;GBIF
126;Crax fasciolata;NA;-17.5336;-56.9078;EBIRD;2018;GBIF
127;Crax fasciolata;NA;-19.9526;-56.3044;EBIRD;2019;GBIF
128;Crax fasciolata;NA;-9.59647;-55.9322;EBIRD;2018;GBIF
129;Crax fasciolata;NA;-19.9543;-56.3043;EBIRD;2013;GBIF
130;Crax fasciolata;NA;-19.9526;-56.3044;EBIRD;2014;GBIF
131;Crax fasciolata;NA;-9.59726;-55.9311;EBIRD_QC;2014;GBIF
132;Crax fasciolata;NA;-16.6196;-56.7347;EBIRD;2013;GBIF
133;Crax fasciolata;NA;-18.4205;-53.179;EBIRD_BRA;2019;GBIF
134;Crax fasciolata;NA;-16.3786;-56.6208;EBIRD;2016;GBIF
135;Crax fasciolata;NA;-6.03395;-50.5748;EBIRD;2008;GBIF
136;Crax fasciolata;NA;-20.0956;-55.9648;EBIRD;2019;GBIF
137;Crax fasciolata;NA;-17.3665;-56.7742;EBIRD;2017;GBIF
138;Crax fasciolata;NA;-19.4707;-56.9101;EBIRD_BRA;2019;GBIF
139;Crax fasciolata;NA;-21.6258;-54.2511;EBIRD_BRA;2019;GBIF
140;Crax fasciolata;NA;-19.9526;-56.3044;EBIRD;2003;GBIF
141;Crax fasciolata;NA;-17.1174;-56.9292;EBIRD;2005;GBIF
142;Crax fasciolata;NA;-16.3785;-56.6218;EBIRD;2017;GBIF
143;Crax fasciolata;NA;-17.1027;-56.943;EBIRD;2009;GBIF
144;Crax fasciolata;NA;-17.3287;-56.753;EBIRD;2019;GBIF
145;Crax fasciolata;NA;-21.1102;-56.4972;EBIRD;2019;GBIF
146;Crax fasciolata;NA;-20.0503;-48.9619;EBIRD_BRA;2019;GBIF
147;Crax fasciolata;NA;-16.7581;-56.8772;EBIRD;2001;GBIF
148;Crax fasciolata;NA;-21.1715;-56.4459;EBIRD_BRA;2009;GBIF
149;Crax fasciolata;NA;-16.5031;-56.7453;EBIRD;2019;GBIF
150;Crax fasciolata;NA;-16.3567;-56.6449;EBIRD;2019;GBIF
151;Crax fasciolata;NA;-9.97933;-50.0365;EBIRD;2017;GBIF
152;Crax fasciolata;NA;-17.2826;-56.6988;EBIRD;2019;GBIF
153;Crax fasciolata;NA;-8.08437;-48.0969;EBIRD;2019;GBIF
154;Crax fasciolata;NA;-16.7581;-56.8772;EBIRD;2008;GBIF
155;Crax fasciolata;NA;-16.6196;-56.7347;EBIRD;2009;GBIF
156;Crax fasciolata;NA;-9.97933;-50.0365;EBIRD;2019;GBIF
157;Crax fasciolata;NA;-5.96501;-50.3647;EBIRD;2011;GBIF
158;Crax fasciolata;NA;-6.1223;-50.2571;EBIRD;2019;GBIF
159;Crax fasciolata;NA;-16.5044;-56.6752;EBIRD;2019;GBIF
160;Crax fasciolata;NA;-9.59647;-55.9322;EBIRD;2018;GBIF
161;Crax fasciolata;NA;-16.62;-56.765;EBIRD;2019;GBIF
162;Crax fasciolata;NA;-18.1308;-52.9235;EBIRD;2005;GBIF
163;Crax fasciolata;NA;-17.3149;-56.7183;EBIRD;2018;GBIF
164;Crax fasciolata;NA;-17.3645;-56.7751;EBIRD;2019;GBIF
165;Crax fasciolata;NA;-20.0956;-55.9648;EBIRD;2019;GBIF
166;Crax fasciolata;NA;-19.9641;-56.3067;EBIRD;2018;GBIF
167;Crax fasciolata;NA;-19.9543;-56.3043;EBIRD;2018;GBIF
168;Crax fasciolata;NA;-19.9543;-56.3043;EBIRD;2013;GBIF
169;Crax fasciolata;NA;-16.2729;-46.4688;EBIRD;2019;GBIF
170;Crax fasciolata;NA;-19.9543;-56.3043;EBIRD;2018;GBIF
171;Crax fasciolata;NA;-19.5557;-57.0386;EBIRD_BRA;2019;GBIF
172;Crax fasciolata;NA;-15.6369;-57.1869;EBIRD;2019;GBIF
173;Crax fasciolata;NA;-16.5044;-56.6752;EBIRD;2019;GBIF
174;Crax fasciolata;NA;-17.2826;-56.6988;EBIRD;2019;GBIF
